,price,return,log_return
2014-07-03 ,90.46,,
2014-07-07 ,90.01,-0.0049745744,-0.0049869888
2014-07-08 ,89.34,-0.0074436174,-0.0074714593
2014-07-09 ,91.15,0.0202596821,0.0200571852
2014-07-10 ,89.4,-0.0191991223,-0.0193858189
2014-07-11 ,88.56,-0.0093959732,-0.0094403938
2014-07-14 ,86.74,-0.0205510388,-0.02076515
2014-07-15 ,81.255,-0.063234955,-0.0653227806
2014-07-16 ,80.25,-0.0123684696,-0.0124455958
2014-07-17 ,83.41,0.039376947,0.0386214442
2014-07-18 ,82.25,-0.0139072054,-0.0140048166
2014-07-21 ,82.89,0.007781155,0.007751038
2014-07-22 ,83.01,0.0014477018,0.0014466549
2014-07-23 ,81.913,-0.0132152753,-0.013303374
2014-07-24 ,82.06,0.0017945869,0.0017929786
2014-07-25 ,82.53,0.0057275165,0.0057111766
2014-07-28 ,81.26,-0.0153883436,-0.015507973
2014-07-29 ,83.8,0.0312576914,0.0307791169
2014-07-30 ,82.81,-0.0118138425,-0.0118841804
2014-07-31 ,82.05,-0.0091776356,-0.0092200095
2014-08-01 ,81.2,-0.0103595369,-0.0104135704
2014-08-04 ,76.5,-0.0578817734,-0.0596245063
2014-08-05 ,78.81,0.0301960784,0.0297491515
2014-08-06 ,79.37,0.0071056972,0.0070805707
2014-08-07 ,80.379,0.0127126118,0.0126324849
2014-08-08 ,79.6,-0.0096915861,-0.0097388552
2014-08-11 ,80.15,0.0069095477,0.0068857862
2014-08-12 ,79.59,-0.0069868996,-0.0070114222
2014-08-13 ,77.85,-0.021862043,-0.0221045585
2014-08-14 ,78.47,0.0079640334,0.0079324879
2014-08-15 ,78.125,-0.0043965847,-0.0044062781
2014-08-18 ,78.75,0.008,0.0079681696
2014-08-19 ,79.73,0.0124444444,0.0123676488
2014-08-20 ,81.11,0.0173084159,0.0171603316
2014-08-21 ,81.89,0.0096165701,0.0095706252
2014-08-22 ,82.025,0.0016485529,0.0016471956
2014-08-25 ,82.19,0.0020115818,0.0020095613
2014-08-26 ,82.4,0.0025550554,0.0025517968
2014-08-27 ,82.2,-0.0024271845,-0.0024301349
2014-08-28 ,81.14,-0.0128953771,-0.0129792443
2014-08-29 ,80.65,-0.006038945,-0.0060572532
2014-09-02 ,81.059,0.0050712957,0.00505848
2014-09-03 ,78.93,-0.0262648195,-0.0266159009
2014-09-04 ,80.41,0.0187507918,0.0185771628
2014-09-05 ,76.3,-0.0511130456,-0.0524656083
2014-09-08 ,75.605,-0.0091087811,-0.0091505197
2014-09-09 ,76.69,0.0143509027,0.0142489032
2014-09-10 ,75.59,-0.0143434607,-0.0144473225
