date,new_fans,people_talking_about
07/12/2016,71,1104
08/12/2016,720,1294
09/12/2016,1213,3591
10/12/2016,1125,4404
11/12/2016,0,4404
12/12/2016,2207,5371
13/12/2016,23341,5904
14/12/2016,135,5919
15/12/2016,173,5921
16/12/2016,171,4030
17/12/2016,117,3642
18/12/2016,170,3596
19/12/2016,275,4173
20/12/2016,-75,5117
21/12/2016,777,6218
22/12/2016,631,7224
23/12/2016,147,7194
24/12/2016,102,7029
25/12/2016,122,6810
26/12/2016,185,6008
27/12/2016,-1242,5400
28/12/2016,4205,4802
29/12/2016,5232,3878
30/12/2016,8,3622
31/12/2016,-54,3439
01/01/2017,0,3439
02/01/2017,-204,2969
03/01/2017,-585,1976
04/01/2017,-92,1246
05/01/2017,-120,1045
06/01/2017,-65,1003
07/01/2017,-4,980
08/01/2017,0,1036
09/01/2017,-60,1060
10/01/2017,-745,1039
11/01/2017,-42,935
12/01/2017,-81,918
13/01/2017,-51,857
14/01/2017,-7,794
15/01/2017,-72,759
16/01/2017,56,1107
17/01/2017,489,1226
18/01/2017,22,1280
19/01/2017,-23,1282
20/01/2017,-19,1466
21/01/2017,3,1455
22/01/2017,0,1455
23/01/2017,19,1493
24/01/2017,619,1607
25/01/2017,-35,1628
26/01/2017,-40,1596
27/01/2017,-31,1420
28/01/2017,-35,1416
29/01/2017,18,1109
30/01/2017,-62,1045
31/01/2017,440,722
01/02/2017,-87,1299
02/02/2017,-47,1642
03/02/2017,-29,1900
04/02/2017,-16,2503
05/02/2017,-62,2569
06/02/2017,31,2588
07/02/2017,420,3215
08/02/2017,229,3689
09/02/2017,169,4209
10/02/2017,93,4267
11/02/2017,101,6519
12/02/2017,0,6519
13/02/2017,365,9537
14/02/2017,282,9019
15/02/2017,150,8557
16/02/2017,176,8237
17/02/2017,151,8505
18/02/2017,336,6713
19/02/2017,271,5881
20/02/2017,459,5863
21/02/2017,209,6132
22/02/2017,176,5954
23/02/2017,5,6180
24/02/2017,132,6572
25/02/2017,97,6101
26/02/2017,114,5719
27/02/2017,11,4498
28/02/2017,-134,4090
01/03/2017,-9,3788
02/03/2017,-72,3010
03/03/2017,-69,2092
04/03/2017,-16,1332
05/03/2017,0,1332
06/03/2017,-143,541
07/03/2017,-363,515
08/03/2017,-13,534
09/03/2017,13,918
10/03/2017,340,3482
11/03/2017,317,5797
12/03/2017,446,8113
13/03/2017,332,9630
14/03/2017,-2632,10275
15/03/2017,76,10923
16/03/2017,44,11044
17/03/2017,41,9170
18/03/2017,79,7325
19/03/2017,30,5439
20/03/2017,36,4345
21/03/2017,-19,3809
22/03/2017,53,3482
23/03/2017,142,3757
24/03/2017,233,3899
25/03/2017,110,4070
26/03/2017,0,4070
27/03/2017,101,3776
28/03/2017,507,3637
29/03/2017,-23,3207
30/03/2017,-11,2364
31/03/2017,12,1648
01/04/2017,-28,1141
02/04/2017,-8,913
03/04/2017,-76,772
04/04/2017,-265,787
05/04/2017,-54,872
